name,lat,lon
Amrapali Zodiac,28.585099,77.397114
Express Garden,28.638797,77.367925
Vigyapan Lok Appartments,28.594424,77.295319
Jansatta Apartment,28.65635,77.37304
D4 Bpcl Housing Complex,28.600261,77.341263
Tarang Apartments,28.621003,77.295062
DDA Flats,28.530278,77.254392
Shipra Krishna Vista Appartment,28.640928,77.373797
Kribhco Township,28.582653,77.356043
Exotica Dreamville,28.617237,77.422915
Amarpali Apartments,28.631627,77.304561
Dhaulagiri Tower,28.642168,77.321063
Ramprastha Greens,28.652036,77.348783
Okhla,28.550538,77.270108
Sector 11 noida,28.599272,77.335564
Cassia road,28.637319,77.372799
Gyan Khand 1,28.640295,77.350089
Sector 30,28.575178,77.343241
Gulmohar Garden - Sector 44,28.559082,77.337032
Abhay khand,28.649416,77.355739
Civitech Florencia,28.652544,77.348858
"M-235, Sector 25",28.583148,77.341643
Kirti Apartments,28.595767,77.296508
Mahagun Mywoods,28.622082,77.42792
Mayur Vihar Phase I,28.610719,77.302675
Dhawandeep Building,28.623202,77.215494
Lajpat Nagar III,28.56655,77.241796
"Crossing Republic, Ghaziabad",28.63008,77.43488
Civitech Sampriti,28.570922,77.392498
Mayur Vihar Phase 1,28.611455,77.295179
Maira Kaabad Khana,28.565228,77.220656
Seemant Vihar,28.636438,77.332851
Gaur Galaxy Apartment,28.641212,77.342751
Jhilmil colony,28.669191,77.310887
Commonwealth Games Flats,28.607803,77.276592
Shaheed Bhagat Singh Apartment,28.534867,77.227126
Cleo Country,28.598924,77.391303
Exotica Elegance,28.643367,77.382427
Amarpali green,28.635301,77.363373
Sector 71,28.59307,77.378338
Amrapali Royal,28.635857,77.364381
Venky's,28.602297,77.291849
Angel Mercury,28.644632,77.382284
Mahagun Villa,28.646706,77.338998
Mahagun Moderne,28.562007,77.386418
Shipra Reviera Apartments,28.645281,77.354134
Akriti,28.632986,77.304828
Gk 2,28.534086,77.236721
Mall Apartments,28.697068,77.212106
Sector 78,28.563468,77.390334
Mahagun Morpheus,28.571771,77.368771
ATS Advantage,28.640824,77.365646
Satyam Apartment,28.598406,77.318645
Anandlok appts,28.607497,77.290366
Media Times Apartment,28.638694,77.34853
Olive Country,28.658528,77.378722
Shakarpur,28.630531,77.282376
Mini IMT Resort II,28.59888,77.319112
Sujan Singh Park,28.602128,77.228091
C' block,28.666264,77.326337
